Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	326.10	0.000000	0.000000
D:	327.88	0.000000	0.000000
D:	329.64	0.000000	0.000000
D:	331.45	0.000000	0.000000
D:	333.19	0.000000	0.000000
D:	334.97	0.000000	0.000000
D:	336.64	0.000000	0.000000
D:	338.33	0.000000	0.000000
D:	340.06	0.000000	0.000000
D:	341.84	0.000000	0.000000
D:	343.61	0.000000	0.000000
D:	345.41	0.000000	0.000000
D:	347.38	0.000000	0.000000
D:	349.23	0.000000	0.000000
D:	351.02	0.000000	0.000000
D:	352.81	0.000000	0.000000
D:	354.54	0.000000	0.000000
D:	356.27	0.000000	0.000000
D:	357.97	0.000000	0.000000
D:	359.78	0.000000	0.000000
D:	361.49	0.000000	0.000000
D:	363.19	0.000000	0.000000
D:	364.96	0.000000	0.000000
D:	366.77	0.000000	0.000000
D:	368.51	0.000000	0.000000
D:	370.22	0.000000	0.000000
D:	372.09	0.000000	0.000000
D:	373.81	0.000000	0.000000
D:	375.60	0.000000	0.000000
D:	377.43	0.000000	0.000000
D:	379.23	0.000000	0.000000
D:	381.07	0.000000	0.000000
D:	383.10	0.000000	0.000000
D:	385.10	0.000000	0.000000
D:	386.92	0.000000	0.000000
D:	388.68	0.000000	0.000000
D:	390.52	0.000000	0.000000
D:	392.35	0.000000	0.000000
D:	394.19	0.000000	0.000000
D:	396.01	0.000000	0.000000
D:	397.90	0.000000	0.000000
D:	399.77	0.000000	0.000000
D:	401.51	0.000000	0.000000
D:	403.24	0.000000	0.000000
D:	404.96	0.000000	0.000000
D:	406.93	0.000000	0.000000
D:	408.81	0.000000	0.000000
D:	410.57	0.000000	0.000000
D:	412.30	0.000000	0.000000
D:	414.05	0.000000	0.000000
D:	415.79	0.000000	0.000000
D:	417.61	0.000000	0.000000
D:	419.33	0.000000	0.000000
D:	421.08	0.000000	0.000000
D:	422.88	0.000000	0.000000
D:	424.61	0.000000	0.000000
D:	426.33	0.000000	0.000000
D:	428.01	0.000000	0.000000
D:	429.67	0.000000	0.000000
D:	431.54	0.000000	0.000000
D:	433.32	0.000000	0.000000
D:	435.04	0.000000	0.000000
D:	436.78	0.000000	0.000000
D:	438.57	0.000000	0.000000
D:	440.31	0.000000	0.000000
D:	442.25	0.000000	0.000000
D:	444.19	0.000000	0.000000
D:	446.07	0.000000	0.000000
D:	447.81	0.000000	0.000000
D:	449.55	0.000000	0.000000
D:	451.25	0.000000	0.000000
D:	453.24	0.000000	0.000000
D:	455.24	0.000000	0.000000
D:	457.22	0.000000	0.000000
D:	459.25	0.000000	0.000000
D:	461.26	0.000000	0.000000
D:	463.21	0.000000	0.000000
D:	465.06	0.000000	0.000000
D:	467.04	0.000000	0.000000
D:	468.88	0.000000	0.000000
D:	470.58	0.000000	0.000000
D:	472.31	0.000000	0.000000
D:	474.00	0.000000	0.000000
D:	475.77	0.000000	0.000000
D:	477.48	0.000000	0.000000
D:	479.21	0.000000	0.000000
D:	481.04	0.000000	0.000000
D:	483.15	0.000000	0.000000
D:	485.22	0.000000	0.000000
D:	487.24	0.000000	0.000000
D:	489.00	0.000000	0.000000
D:	490.66	0.000000	0.000000
D:	492.40	0.000000	0.000000
D:	494.16	0.000000	0.000000
D:	495.86	0.000000	0.000000
D:	497.61	0.000000	0.000000
D:	499.58	0.000000	0.000000
D:	501.36	0.000000	0.000000
D:	503.16	0.000000	0.000000
D:	504.92	0.000000	0.000000
D:	506.66	0.000000	0.000000
D:	508.42	0.000000	0.000000
D:	510.19	0.000000	0.000000
D:	512.02	0.000000	0.000000
D:	513.76	0.000000	0.000000
D:	515.59	0.000000	0.000000
D:	517.49	0.000000	0.000000
D:	519.39	0.000000	0.000000
D:	521.17	0.000000	0.000000
D:	522.90	0.000000	0.000000
D:	524.68	0.000000	0.000000
D:	526.59	0.000000	0.000000
D:	528.36	0.000000	0.000000
D:	530.16	0.000000	0.000000
D:	532.06	0.000000	0.000000
D:	534.02	0.000000	0.000000
D:	536.03	0.000000	0.000000
D:	537.91	0.000000	0.000000
D:	539.75	0.000000	0.000000
D:	541.70	0.000000	0.000000
D:	543.65	0.000000	0.000000
D:	545.46	0.000000	0.000000
D:	547.24	0.000000	0.000000
D:	549.06	0.000000	0.000000
D:	550.88	0.000000	0.000000
D:	552.62	0.000000	0.000000
D:	554.30	0.000000	0.000000
D:	556.09	0.000000	0.000000
D:	557.82	0.000000	0.000000
D:	559.59	0.000000	0.000000
D:	561.42	0.000000	0.000000
D:	563.26	0.000000	0.000000
D:	565.01	0.000000	0.000000
D:	566.83	0.000000	0.000000
D:	568.55	0.000000	0.000000
D:	570.29	0.000000	0.000000
D:	572.01	0.000000	0.000000
D:	573.77	0.000000	0.000000
D:	575.50	0.000000	0.000000
D:	577.19	0.000000	0.000000
D:	579.03	0.000000	0.000000
D:	580.77	0.000000	0.000000
D:	582.55	0.000000	0.000000
D:	584.26	0.000000	0.000000
D:	586.01	0.000000	0.000000
D:	587.77	0.000000	0.000000
D:	589.46	0.000000	0.000000
D:	591.24	0.000000	0.000000
D:	593.04	0.000000	0.000000
D:	594.83	0.000000	0.000000
