aabea4595cf93507
D:	1772363575463	undefined	undefined
D:	1772363575463	0	0
D:	1772363575514	0	0
D:	1772363575564	0	0
D:	1772363575614	0	0
D:	1772363575664	0	0
D:	1772363575714	0	0
D:	1772363575764	0	0
D:	1772363575814	0	0
D:	1772363575864	0	0
D:	1772363575914	0	0
D:	1772363575964	0	0
D:	1772363576016	0	0
D:	1772363576066	0	0
D:	1772363576116	0	0
D:	1772363576166	9.76502799987793	9.76502799987793
D:	1772363576216	13.121757507324219	13.121757507324219
D:	1772363576266	13.426915168762207	13.426915168762207
D:	1772363576316	13.732071876525879	13.732071876525879
D:	1772363576366	14.037227630615234	13.732071876525879
D:	1772363576416	13.732071876525879	13.426915168762207
D:	1772363576467	13.732071876525879	13.426915168762207
D:	1772363576517	13.732071876525879	13.426915168762207
D:	1772363576567	13.426915168762207	13.732071876525879
D:	1772363576617	13.732071876525879	13.732071876525879
D:	1772363576667	13.732071876525879	14.037227630615234
D:	1772363576717	14.037227630615234	14.037227630615234
D:	1772363576767	13.732071876525879	13.732071876525879
D:	1772363576817	13.732071876525879	13.732071876525879
D:	1772363576867	13.426915168762207	13.426915168762207
D:	1772363576917	13.732071876525879	13.426915168762207
D:	1772363576967	13.732071876525879	13.426915168762207
D:	1772363577017	13.426915168762207	13.732071876525879
D:	1772363577067	13.732071876525879	14.037227630615234
D:	1772363577117	13.732071876525879	14.037227630615234
D:	1772363577167	13.732071876525879	13.732071876525879
D:	1772363577217	13.426915168762207	13.732071876525879
D:	1772363577267	13.732071876525879	13.426915168762207
D:	1772363577317	13.732071876525879	13.426915168762207
D:	1772363577367	14.037227630615234	13.732071876525879
D:	1772363577417	13.732071876525879	13.732071876525879
D:	1772363577467	13.732071876525879	14.037227630615234
D:	1772363577517	13.426915168762207	14.037227630615234
D:	1772363577567	13.732071876525879	13.732071876525879
D:	1772363577617	13.732071876525879	13.732071876525879
D:	1772363577667	14.037227630615234	13.426915168762207
D:	1772363577717	13.732071876525879	13.426915168762207
D:	1772363577767	13.732071876525879	13.426915168762207
D:	1772363577817	13.426915168762207	13.732071876525879
D:	1772363577867	13.732071876525879	13.732071876525879
D:	1772363577917	13.732071876525879	13.732071876525879
D:	1772363577967	13.732071876525879	14.037227630615234
D:	1772363578017	13.732071876525879	13.732071876525879
D:	1772363578067	13.426915168762207	13.732071876525879
D:	1772363578117	13.732071876525879	13.426915168762207
D:	1772363578167	13.732071876525879	13.426915168762207
D:	1772363578217	14.037227630615234	13.426915168762207
D:	1772363578267	13.732071876525879	13.426915168762207
D:	1772363578317	13.426915168762207	13.732071876525879
D:	1772363578367	13.732071876525879	13.732071876525879
D:	1772363578417	13.732071876525879	13.732071876525879
D:	1772363578467	13.732071876525879	14.037227630615234
D:	1772363578517	13.732071876525879	14.037227630615234
D:	1772363578567	13.426915168762207	13.732071876525879
D:	1772363578617	13.732071876525879	13.732071876525879
D:	1772363578667	13.732071876525879	13.426915168762207
D:	1772363578717	13.732071876525879	13.426915168762207
D:	1772363578767	13.732071876525879	13.426915168762207
D:	1772363578817	13.426915168762207	13.732071876525879
D:	1772363578867	13.732071876525879	13.732071876525879
D:	1772363578917	14.037227630615234	14.037227630615234
D:	1772363578967	13.732071876525879	14.037227630615234
D:	1772363579018	13.426915168762207	13.732071876525879
D:	1772363579068	13.732071876525879	13.732071876525879
D:	1772363579118	13.732071876525879	13.426915168762207
D:	1772363579168	13.732071876525879	13.426915168762207
D:	1772363579217	13.732071876525879	13.426915168762207
D:	1772363579268	13.426915168762207	13.732071876525879
D:	1772363579318	13.732071876525879	13.732071876525879
D:	1772363579369	14.037227630615234	13.732071876525879
D:	1772363579418	13.732071876525879	14.037227630615234
D:	1772363579468	13.426915168762207	14.037227630615234
D:	1772363579518	13.732071876525879	13.732071876525879
D:	1772363579568	13.732071876525879	13.732071876525879
D:	1772363579618	13.732071876525879	13.732071876525879
D:	1772363579668	13.426915168762207	13.426915168762207
D:	1772363579718	13.732071876525879	13.426915168762207
D:	1772363579768	13.732071876525879	13.426915168762207
D:	1772363579818	13.732071876525879	13.426915168762207
D:	1772363579868	13.426915168762207	13.732071876525879
D:	1772363579918	13.732071876525879	13.732071876525879
D:	1772363579968	13.732071876525879	13.732071876525879
D:	1772363580018	13.732071876525879	13.732071876525879
D:	1772363580068	13.732071876525879	14.037227630615234
D:	1772363580118	13.426915168762207	13.732071876525879
D:	1772363580168	13.732071876525879	13.732071876525879
D:	1772363580218	14.037227630615234	13.426915168762207
