Syntax version=4
Sun Feb 01 15:04:19 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	320.76	12.206302	11.299019
D:	322.53	12.206302	11.299019
D:	324.35	12.206302	11.299019
D:	326.10	12.206302	11.299019
D:	327.86	12.206302	11.299019
D:	329.54	12.206289	11.299019
D:	331.26	12.206289	11.536581
D:	332.95	12.206289	11.536581
D:	334.66	12.206289	11.536581
D:	336.43	12.206289	11.536581
D:	338.40	12.206289	11.536581
D:	340.26	12.206286	11.339967
D:	342.07	12.206286	11.339967
D:	343.79	12.206286	11.339967
D:	345.47	12.206286	11.339967
D:	347.21	12.206286	11.339967
D:	348.95	12.206286	11.339967
D:	350.65	12.206286	11.300644
D:	352.36	12.206286	11.300644
D:	354.13	12.206286	11.300644
D:	355.88	12.206286	11.300644
D:	357.69	12.206286	11.300644
D:	359.38	12.206286	11.300644
D:	361.12	12.206286	11.536906
D:	362.95	12.206286	11.536906
D:	364.66	12.206286	11.536906
D:	366.38	12.206286	11.536906
D:	368.08	12.206286	11.536906
D:	369.82	12.206286	11.536906
D:	371.53	12.206286	11.340033
D:	373.36	12.206286	11.340033
D:	375.18	12.206286	11.340033
D:	376.86	12.206286	11.340033
D:	378.54	12.206286	11.340033
D:	380.24	12.450412	11.300657
D:	381.95	12.450412	11.300657
D:	383.82	12.450412	11.300657
D:	385.57	12.450412	11.300657
D:	387.28	12.450412	11.300657
D:	388.96	12.255112	11.300657
D:	390.76	12.255112	11.536909
D:	392.46	12.255112	11.536909
D:	394.16	12.255112	11.536909
D:	395.86	12.255112	11.536909
D:	397.53	12.255112	11.536909
D:	399.28	12.216051	11.536909
D:	400.96	12.216051	11.340033
D:	402.66	12.216051	11.340033
D:	404.38	12.216051	11.340033
D:	406.18	12.216051	11.340033
D:	407.96	12.216051	11.340033
D:	409.64	12.208239	11.340033
D:	411.34	12.208239	11.300657
D:	413.09	12.208239	11.300657
D:	414.83	12.208239	11.300657
D:	416.51	12.208239	11.300657
D:	418.21	12.208239	11.300657
D:	419.95	12.206676	11.536909
D:	421.65	12.206676	11.536909
D:	423.45	12.206676	11.536909
D:	425.17	12.206676	11.536909
D:	426.89	12.206676	11.536909
D:	428.61	12.206676	11.536909
D:	430.48	12.206364	11.340033
D:	432.17	12.206364	11.340033
D:	433.92	12.206364	11.340033
D:	435.62	12.206364	11.340033
D:	437.33	12.206364	11.340033
D:	439.12	12.206302	11.340033
D:	440.90	12.206302	11.300657
D:	442.61	12.206302	11.300657
D:	444.29	12.206302	11.300657
D:	446.04	12.206302	11.300657
D:	447.78	12.206302	11.300657
D:	449.53	12.206289	11.300657
D:	451.26	12.206289	11.292782
D:	453.07	12.206289	11.292782
D:	454.76	12.206289	11.292782
D:	456.51	12.206289	11.292782
D:	458.24	12.206289	11.292782
D:	459.97	12.206286	11.535334
D:	461.76	12.206286	11.535334
D:	463.46	12.206286	11.535334
D:	465.18	12.206286	11.535334
D:	466.96	12.206286	11.535334
D:	468.64	12.206286	11.535334
D:	470.35	12.206286	11.339718
D:	472.10	12.206286	11.339718
D:	473.87	12.206286	11.339718
D:	475.57	12.206286	11.339718
D:	477.32	12.206286	11.339718
D:	479.08	12.206286	11.339718
D:	480.78	12.206286	11.300594
D:	482.53	12.206286	11.300594
D:	484.25	12.206286	11.300594
D:	486.01	12.206286	11.300594
D:	487.76	12.206286	11.300594
D:	489.69	12.206286	11.300594
D:	491.42	12.206286	11.292769
D:	493.26	12.206286	11.292769
D:	495.14	12.206286	11.292769
D:	496.86	12.206286	11.292769
D:	498.53	12.206286	11.292769
D:	500.28	12.206286	11.535331
D:	501.97	12.206286	11.535331
D:	503.68	12.206286	11.535331
D:	505.36	12.206286	11.535331
D:	507.25	12.206286	11.535331
D:	509.03	12.206286	11.535331
D:	510.78	12.206286	11.339717
D:	512.48	12.206286	11.339717
D:	514.18	12.206286	11.339717
D:	515.90	12.206286	11.339717
D:	517.62	12.206286	11.339717
D:	519.33	12.206286	11.339717
D:	521.08	12.206286	11.300594
D:	522.97	12.206286	11.300594
D:	524.98	12.206286	11.300594
D:	526.80	12.206286	11.300594
D:	528.48	12.206286	11.300594
D:	530.21	12.206286	11.536896
D:	531.95	12.206286	11.536896
D:	533.62	12.206286	11.536896
D:	535.34	12.206286	11.536896
D:	537.08	12.206286	11.536896
D:	538.78	12.206286	11.536896
D:	540.54	12.206286	11.340030
D:	542.28	12.206286	11.340030
D:	544.03	12.206286	11.340030
D:	545.75	12.206286	11.340030
D:	547.53	12.206286	11.340030
D:	549.21	12.206286	11.340030
D:	550.95	12.206286	11.300657
D:	552.64	12.206286	11.300657
D:	554.58	12.206286	11.300657
D:	556.52	12.206286	11.300657
D:	558.27	12.206286	11.300657
D:	559.98	12.206286	11.536909
D:	561.68	12.206286	11.536909
D:	563.36	12.206286	11.536909
D:	565.10	12.206286	11.536909
D:	566.80	12.206286	11.536909
D:	568.49	12.206286	11.536909
D:	570.45	12.206286	11.340033
D:	572.21	12.206286	11.340033
D:	574.00	12.206286	11.340033
D:	575.75	12.206286	11.340033
D:	577.44	12.206286	11.340033
D:	579.18	12.206286	11.340033
D:	580.86	12.206286	11.300657
D:	582.58	12.206286	11.300657
D:	584.31	12.206286	11.300657
D:	586.15	12.206286	11.300657
D:	587.95	12.206286	11.300657
D:	589.61	12.206286	11.300657
D:	591.23	12.206286	11.292782
D:	592.78	12.206286	11.292782
D:	594.32	12.206286	11.292782
D:	595.92	12.206286	11.292782
D:	597.46	12.206286	11.292782
D:	599.04	12.206286	11.292782
D:	600.74	12.206286	11.535334
D:	602.38	12.206286	11.535334
D:	603.92	12.206286	11.535334
D:	605.45	12.206286	11.535334
D:	607.33	12.206286	11.535334
D:	608.94	12.206286	11.535334
D:	610.47	12.206286	11.339718
D:	612.00	12.206286	11.339718
D:	613.53	12.206286	11.339718
D:	615.06	12.206286	11.339718
D:	616.73	12.206286	11.339718
D:	618.28	12.206286	11.339718
D:	619.83	12.206286	11.339718
D:	621.35	12.206286	11.300594
D:	622.97	12.206286	11.300594
D:	624.54	12.206286	11.300594
D:	626.08	12.206286	11.300594
D:	627.67	12.206286	11.300594
D:	629.22	12.206286	11.300594
D:	630.79	12.206286	11.292769
D:	632.36	12.206286	11.292769
D:	634.00	12.206286	11.292769
D:	635.53	12.206286	11.292769
D:	637.05	12.206286	11.292769
D:	638.59	12.206286	11.292769
D:	640.16	12.206286	11.535331
D:	641.73	12.206286	11.535331
D:	643.27	12.206286	11.535331
D:	644.83	12.206286	11.535331
D:	646.35	12.206286	11.535331
D:	647.96	12.206286	11.535331
D:	649.54	12.206286	11.535331
D:	651.09	12.206286	11.339717
D:	652.63	12.206286	11.339717
D:	654.19	12.206286	11.339717
D:	655.73	12.206286	11.339717
D:	657.33	12.206286	11.339717
D:	659.10	12.206286	11.339717
D:	660.81	12.206286	11.300594
D:	662.57	12.206286	11.300594
D:	664.27	12.206286	11.300594
